Instituto Nacional de Estadística y Geografía (INEGI),,,
"Matrícula escolar por entidad federativa según nivel educativo, ciclos escolares seleccionados de 2000/2001 a 2024/2025",,,
,,,
Fecha de consulta: 24/04/2026 00:35:14,,,
,,,
Alumnos,,,
Entidad federativa,Sexo,2022/2023,2022/2023
Entidad federativa,Sexo,Primaria,Secundaria
Estados Unidos Mexicanos,Total,"13,345,969","6,210,924"
Aguascalientes,Total,"160,072","73,707"
Baja California,Total,"379,695","183,627"
Baja California Sur,Total,"82,593","40,939"
Campeche,Total,"98,212","44,702"
Coahuila de Zaragoza,Total,"327,171","153,963"
Colima,Total,"71,291","33,951"
Chiapas,Total,"796,609","292,302"
Chihuahua,Total,"407,815","185,353"
Ciudad de México,Total,"746,095","409,226"
Durango,Total,"213,596","96,459"
Guanajuato,Total,"683,673","310,334"
Guerrero,Total,"422,275","183,392"
Hidalgo,Total,"332,230","168,950"
Jalisco,Total,"915,227","412,210"
México,Total,"1,704,384","845,366"
Michoacán de Ocampo,Total,"540,950","222,424"
Morelos,Total,"195,107","93,267"
Nayarit,Total,"134,566","63,533"
Nuevo León,Total,"583,542","275,402"
Oaxaca,Total,"456,863","196,223"
Puebla,Total,"751,723","337,866"
Querétaro,Total,"253,497","120,125"
Quintana Roo,Total,"194,034","93,683"
San Luis Potosí,Total,"297,011","141,849"
Sinaloa,Total,"306,849","151,392"
Sonora,Total,"293,322","145,723"
Tabasco,Total,"278,171","134,160"
Tamaulipas,Total,"359,932","170,009"
Tlaxcala,Total,"148,306","73,418"
Veracruz de Ignacio de la Llave,Total,"788,898","363,070"
Yucatán,Total,"228,911","106,253"
Zacatecas,Total,"193,349","88,046"
,,,
,,,
,,,
,,,
ND (No disponible) indica que no se cuenta con información.,,,
,,,
Notas:,,,
"Los datos presentados se refieren al esquema general –Escolarizado– del Sistema Educativo Nacional, además, comprenden los servicios por sostenimiento: público (federal, estatal y autónomo) y privado. Las cifras corresponden a inicio de cursos.",,,
"Educación Media superior: incluye estudios técnicos o comerciales con secundaria terminada, comprende los niveles educativos: Profesional técnico y Bachillerato.",,,
"Educación Superior: incluye estudios técnicos o comerciales con preparatoria terminada, comprende los niveles educativos: Técnico superior, Normal licenciatura, Licenciatura universitaria tecnológica y Posgrado.",,,
"El 5 de diciembre de 2025, se reemplazaron los datos del ciclo escolar 2023/2024 con cifras definitivas, ya que las anteriores eran preliminares.",,,
"Para el ciclo escolar 2024/2025, cifras preliminares.",,,
,,,
Fuente:,,,
"Para 2000/2001: SEP. Estadística Básica del Sistema Educativo Nacional. Inicio de Cursos 2000-2001. México, DF, 2001.",,,
"Para 2005/2006: SEP. Sistema Educativo de los Estados Unidos Mexicanos. Principales cifras, ciclo escolar 2005-2006. México, DF.",,,
De 2010/2011 a 2024/2025: SEP. Sistema Interactivo de Consulta de Estadística Educativa. http://planeacion.sep.gob.mx/principalescifras/ (Consulta: 25 de noviembre de 2025).,,,
